,Intern_Role,Company_Name,Location,Duration,Stipend
0,Software Development,UpGrad (UpGrad Education Private Limited),Bangalore,3 Months, 10000 /month
1,Machine Learning & Model Building (OCR Tool),IIT Bombay,Work From Home,6 Months, 1000 /month
2,Unreal Development,HEXR Factory,Chennai,3 Months, 12000 /month
3,Web Development,ParallelDots Technology Private Limited,Work From Home,3 Months, 10000 /month
4,Robotics Content Development,Evobi Automation Private Limited (Bibox Labs),Bangalore,3 Months, 10000-20000 /month
5,STEM Content Creation,Evobi Automation Private Limited (Bibox Labs),Bangalore,3 Months, 10000-20000 /month
6,Teaching (Robotics),Skyfi Education Labs Private Limited,Work From Home,6 Months, 15000 /month
7,Computer Vision,Marj Technologies,Noida,6 Months, 15000-20000 /month
8,Flutter Development,FlexiEle Consulting Services Private Limited,Work From Home,3 Months, 10000 /month
9,Java Full Stack Development,Integrin Enterprise Solutions,Coimbatore,6 Months, 5000 /month
10,Software Development,MyG,Kozhikode,3 Months, 5000 /month
11,Flutter Development,PythonMate,Indore,6 Months, 10000 /month
12,Software Development (C/C++/C#/VC++/Java),SocialWell,Angul,6 Months, 12000 /month
13,Java Spring Boot Development,Digiretail Software India Private Limited,Work From Home,6 Months, 6000 /month
14,Flutter Mobile Application Development,Liberin Technologies Private Limited,Noida,6 Months, 8000 /month
15,Java Development,Liberin Technologies Private Limited,Noida,6 Months, 8000 /month
16,Flutter Development,Pinsout Innovation,Delhi,6 Months, 15000-20000 /month
17,Web Development,Indrones Solutions Private Limited,Navi Mumbai,6 Months, 8000-15000 /month
18,Unity Development,Ironwork Insights Private Limited,Work From Home,2 Months, 3000 /month +  Incentives
19,DevOps Engineering,TGH Technologies Private Limited,Work From Home,1 Month, 5000-7000 /month
20,Google AppSheet Application Development,Digisoft,Noida,3 Months, 5000-12000 /month
21,Computer Vision,Arcturus Business Solutions,Work From Home,1 Month, 5000 /month
22,Web Development,Tritan Solutions Private Limited,Delhi,3 Months, 2500 /month +  Incentives
23,DevOps,PROJECT 28,Work From Home,4 Months, 10000-13000 /month
24,.NET Development,Visual Media Monitor,Delhi,6 Months, 10000-20000 /month
25,Game Development,Sixpep Technovations Private Limited,Hyderabad,6 Months, 12000-20000 /month
26,Java Development,Alfalabs Technologies,Goregaon Kh,6 Months, 10000 /month
27,Unity Game Programming,Repsoft Consultancy Services Private Limited,Work From Home,2 Months, 3000 /month
28,Artificial Intelligence (AI),Buddha Education Association Incorporation,Work From Home,1 Month, 12000 /month
29,Software Development,Dolphinox Technologies Private Limited,Bhopal,4 Months, 2000 /month
30,Unreal Engine 5 Game Design & AR/VR/XR Development,Duke And Clyde Innovation Center Private Limited,Work From Home,6 Months, 1000 /month
31,Front End Development (ReactJS),Omikron Technologies Private Limited,Work From Home,3 Months, 10000 /month
32,Machine Learning,Taiyō,Work From Home,4 Months, 15000-25000 /month
